container_id,container_no,shipping_line_id,yard_area_id,container_size,container_type,full_empty,gate_in_ts,gate_out_ts,hist,error_reason
188,YMLU0000188,8,7,40,TANK,FULL,2025-09-04 04:40:00,2025-09-05 04:40:00,Y,Rule 07: full_empty phải là F hoặc E
189,OOLU0000189,9,2,40,REEFER,EMPTY,2025-10-24 16:54:00,2025-10-25 16:54:00,Y,Rule 07: full_empty phải là F hoặc E
190,PILU0000190,10,4,40,DRY,EMPTY,2025-12-24 14:39:00,2025-12-27 14:39:00,Y,Rule 07: full_empty phải là F hoặc E
191,MAYU0000191,11,3,40,DRY,FULL,2026-01-11 14:10:00,2026-01-25 14:10:00,Y,Rule 07: full_empty phải là F hoặc E
192,HLBU0000192,12,8,40,DRY,FULL,2025-10-17 16:30:00,2025-10-31 16:30:00,Y,Rule 07: full_empty phải là F hoặc E
193,CMAU0000193,1,6,20,DRY,FULL,2025-08-23 02:18:00,2025-10-04 02:18:00,Y,Rule 07: full_empty phải là F hoặc E
194,MSKU0000194,2,7,40,DRY,FULL,2025-08-14 18:24:00,2025-09-20 18:24:00,Y,Rule 07: full_empty phải là F hoặc E
195,ONEU0000195,3,6,20,OPEN_TOP,EMPTY,2025-12-20 12:29:00,2026-01-27 12:29:00,Y,Rule 07: full_empty phải là F hoặc E
196,COSU0000196,4,6,40,FLAT_RACK,FULL,2025-09-05 05:04:00,2025-10-08 05:04:00,Y,Rule 07: full_empty phải là F hoặc E
197,EMCU0000197,5,1,40,DRY,FULL,2025-09-06 18:40:00,2025-09-16 18:40:00,Y,Rule 07: full_empty phải là F hoặc E
198,YMLU0000198,6,2,40,REEFER,EMPTY,2025-09-09 07:58:00,2025-10-04 07:58:00,Y,Rule 07: full_empty phải là F hoặc E
199,OOLU0000199,7,3,40,DRY,FULL,2025-08-17 12:14:00,2025-08-21 12:14:00,Y,Rule 07: full_empty phải là F hoặc E
200,PILU0000200,8,7,40,REEFER,FULL,2025-11-10 19:25:00,2025-12-03 19:25:00,Y,Rule 07: full_empty phải là F hoặc E
201,ETLX9000001,1,2,40,DRY,FULL,2025-09-06 00:12:00,2025-10-13 00:12:00,X,Rule 07: full_empty phải là F hoặc E
202,ETLX9000002,1,2,99,DRY,FULL,2025-09-06 00:12:00,2025-10-13 00:12:00,Y,"Rule 05: container_size không thuộc {20, 40, 45}"
203,ETLX9000003,1,2,40,DRY,FULL,2025-09-06 00:12:00,2025-09-06 00:12:00,Y,Rule 07: full_empty phải là F hoặc E
204,ETLX9000004,1,999999,40,DRY,FULL,2025-09-06 00:12:00,2025-10-13 00:12:00,Y,Rule 04: yard_area_id không tồn tại trong danh mục
